msp_name	species	genus	family	order	class	phylum	superkingdom	knowledge
msp_1566	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1567	Clostridium disporicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_1568	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1570	Porphyromonas asaccharolytica	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_1571c	[Bacteroides] coagulans	Ezakiella	Helcococcaceae-Ezakiellaceae	Tissierellales	Clostridia	Firmicutes	Bacteria	known
msp_1572	unclassified Oscillospirales 6 Marseille-P3106	Oscillospirales 6 Marseille-P3106	Oscillospirales 6	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1573	unclassified Clostridiales 2c	unclassified Clostridiales 2c	Clostridiales 2c	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1574	unclassified Clostridiales 1h	unclassified Clostridiales 1h	Clostridiales 1h	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1575	unclassified Ruminococcus	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1576	unclassified Eggerthellaceae	unclassified Eggerthellaceae	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
msp_1577	unclassified Oscillospirales 4 UBA5446	Oscillospirales 4 UBA5446	Oscillospirales 4	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1578c	Bacteroides oleiciplenus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1579c	unclassified Ruminococcaceae	unclassified Ruminococcaceae	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1580c	Peptococcaceae sp. 1	unclassified Peptococcaceae	Peptococcaceae	Peptococcales	Peptococcia	Firmicutes	Bacteria	unknown
msp_1581	unclassified Lawsonibacter	Lawsonibacter	Oscillospirales 6	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
